genus;short;species;autorite;country;tdwg_level;latitude;longitude
Pentastira;major;Pentastira major;Kirschbaum, 1868;Jordan;4.0;31.2533825;36.7869267
Pentastira;major;Pentastira major;Kirschbaum, 1868;Albania;4.0;41.14254637;20.06837242
Pentastira;major;Pentastira major;Kirschbaum, 1868;Ukraine;4.0;49.17189131;31.26554566
Pentastira;major;Pentastira major;Kirschbaum, 1868;Cyprus;4.0;35.04300313;33.21867825
Pentastira;major;Pentastira major;Kirschbaum, 1868;Lebanon;4.0;33.92037359;35.8880822
Pentastira;major;Pentastira major;Kirschbaum, 1868;Iraq;4.0;33.04801462;43.7722378
Pentastira;major;Pentastira major;Kirschbaum, 1868;Armenia;4.0;40.28641688;44.94793424
Pentastira;major;Pentastira major;Kirschbaum, 1868;Greece;4.0;39.36723826;22.67457493
Pentastira;major;Pentastira major;Kirschbaum, 1868;Syria;4.0;35.01306426;38.50585009
Pentastira;major;Pentastira major;Kirschbaum, 1868;Hungary;4.0;47.1665173;19.41351505
Pentastira;major;Pentastira major;Kirschbaum, 1868;Italy;4.0;43.52546164;12.15502009
Pentastira;major;Pentastira major;Kirschbaum, 1868;Iran;4.0;32.56479713;54.30142285
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Azerbaijan;4.0;40.38015597;47.71281698
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Turkey;4.0;38.98893748;35.43587039
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Slovakia;4.0;48.71130651;19.50871249
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Czech Republic;4.0;49.74303445;15.33833451
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Bulgaria;4.0;42.76135302;25.2313767
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Ukraine;4.0;49.17189131;31.26554566
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Afghanistan;4.0;33.83890296;66.02653864
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Greece;4.0;39.36723826;22.67457493
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Syria;4.0;35.01306426;38.50585009
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Romania;4.0;45.84359796;24.96918232
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Hungary;4.0;47.1665173;19.41351505
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Russia;4.0;;
Pentastira;megista;Pentastira megista;Emeljanov, 1978;Yugoslavia;3.0;;
Pentastira;praepamirica;Pentastira praepamirica;Emeljanov, 1996;Tadzhikistan;4.0;38.52781577;71.04218428
Pentastira;rhodosica;Pentastira rhodosica;Dlabola, 1980;Greece;4.0;39.36723826;22.67457493
Pentastira;rodosica;Pentastira rodosica;Dlabola, 1980;Greece;4.0;39.36723826;22.67457493
