genus;short;species;autorite;country;tdwg_level;latitude;longitude
Achaebana;insularis;Achaebana insularis;(Muir, 1925);Mauritius (Rodrigues);4.0;-19.71779025;63.41351669
Achaemenes;ambalavensis;Achaemenes ambalavensis;Synave, 1965;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;andringitensis;Achaemenes andringitensis;Synave, 1965;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;apicemaculatus;Achaemenes apicemaculatus;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Achaemenes;australis;Achaemenes australis;(Walker, 1851);KwaZulu-Natal;4.0;-28.7085677;30.72508497
Achaemenes;basilewskyi;Achaemenes basilewskyi;Synave, 1960;;;;
Achaemenes;brixioides;Achaemenes brixioides;Van Stalle, 1989;;;;
Achaemenes;coriaceus;Achaemenes coriaceus;Fennah, 1957;;;;
Achaemenes;costalis;Achaemenes costalis;St̴l, 1866;KwaZulu-Natal;4.0;-28.7085677;30.72508497
Achaemenes;costalis;Achaemenes costalis;St̴l, 1866;South Africa;4.0;;
Achaemenes;costalis;Achaemenes costalis;St̴l, 1866;Burundi;4.0;-3.35630423;29.88681075
Achaemenes;diluta;Achaemenes diluta;St̴l, 1866;South Africa;4.0;;
Achaemenes;entabeniensis;Achaemenes entabeniensis;Synave, 1959;;;;
Achaemenes;eshowei;Achaemenes eshowei;Synave, 1952;KwaZulu-Natal;4.0;-28.7085677;30.72508497
Achaemenes;eshowei;Achaemenes eshowei;Synave, 1952;South Africa;4.0;;
Achaemenes;eshowei;Achaemenes eshowei;Synave, 1952;Burundi;4.0;-3.35630423;29.88681075
Achaemenes;flavescens;Achaemenes flavescens;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Achaemenes;furciferens;Achaemenes furciferens;Van Stalle, 1989;;;;
Achaemenes;hyleorias;Achaemenes hyleorias;Linnavuori, 1973;;;;
Achaemenes;intersparsus;Achaemenes intersparsus;Jacobi, 1917;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;kalongensis;Achaemenes kalongensis;Synave, 1963;;;;
Achaemenes;kampalensis;Achaemenes kampalensis;Van Stalle, 1989;;;;
Achaemenes;kilimanus;Achaemenes kilimanus;Jacobi, 1910;;;;
Achaemenes;lobata;Achaemenes lobata;Van Stalle, 1989;;;;
Achaemenes;lokobensis;Achaemenes lokobensis;Synave, 1965;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;longipennis;Achaemenes longipennis;(Walker, 1851);Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Achaemenes;longipennis;Achaemenes longipennis;(Walker, 1851);Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Achaemenes;longispina;Achaemenes longispina;Synave, 1960;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Achaemenes;longispina;Achaemenes longispina;Synave, 1960;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Achaemenes;macabeanus;Achaemenes macabeanus;Synave, 1965;Mauritius;4.0;-20.19562027;57.55521154
Achaemenes;machadoi;Achaemenes machadoi;Synave, 1961;;;;
Achaemenes;maculatus;Achaemenes maculatus;Synave, 1956;Comoros;4.0;-11.89337767;43.67623201
Achaemenes;maculatus;Achaemenes maculatus;Synave, 1956;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;major;Achaemenes major;Jacobi, 1917;Seychelles;4.0;-4.70189449;55.5220677
Achaemenes;major;Achaemenes major;Jacobi, 1917;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;malaisei;Achaemenes malaisei;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Achaemenes;marginatus;Achaemenes marginatus;Synave, 1963;;;;
Achaemenes;marleyi;Achaemenes marleyi;Synave, 1959;South Africa;4.0;;
Achaemenes;monticola;Achaemenes monticola;Van Stalle, 1986;;;;
Achaemenes;musakensis;Achaemenes musakensis;Van Stalle, 1989;;;;
Achaemenes;niger;Achaemenes niger;Melichar, 1905;Tanzania;4.0;-6.27019678;34.8234036
Achaemenes;notatinervis;Achaemenes notatinervis;St̴l, 1866;South Africa;4.0;;
Achaemenes;obscurus;Achaemenes obscurus;Synave, 1953;;;;
Achaemenes;ornatipennis;Achaemenes ornatipennis;St̴l, 1866;South Africa;4.0;;
Achaemenes;pauliani;Achaemenes pauliani;Lallemand & Synave, 1952;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;pingatus;Achaemenes pingatus;Van Stalle, 1989;;;;
Achaemenes;pseudocostalis;Achaemenes pseudocostalis;Van Stalle, 1989;;;;
Achaemenes;punctatus;Achaemenes punctatus;Synave, 1989;;;;
Achaemenes;quinquespinosus;Achaemenes quinquespinosus;Synave, 1960;France (Reunion);4.0;-21.12162946;55.53821274
Achaemenes;quinquespinosus;Achaemenes quinquespinosus;Synave, 1960;Mauritius;4.0;-20.19562027;57.55521154
Achaemenes;resurgens;Achaemenes resurgens;(Walker, 1858);South Africa;4.0;;
Achaemenes;robinsoni;Achaemenes robinsoni;Synave, 1965;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;sakalava;Achaemenes sakalava;Jacobi, 1917;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;seydeli;Achaemenes seydeli;Synave, 1959;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Achaemenes;splendens;Achaemenes splendens;Synave, 1956;Madagascar;4.0;-19.37352737;46.70598974
Achaemenes;synavei;Achaemenes synavei;Williams, 1975;Mauritius;4.0;-20.19562027;57.55521154
Achaemenes;terminalis;Achaemenes terminalis;Jacobi, 1910;Tanzania;4.0;-6.27019678;34.8234036
Achaemenes;tristis;Achaemenes tristis;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Achaemenes;umkomaasi;Achaemenes umkomaasi;Synave, 1952;South Africa;4.0;;
Achaemenes;umkomaasi;Achaemenes umkomaasi;Synave, 1952;KwaZulu-Natal;4.0;-28.7085677;30.72508497
Achaemenes;vehemens;Achaemenes vehemens;Van Stalle, 1989;;;;
Achaemenes;wittei;Achaemenes wittei;Synave, 1953;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Adana;westwoodi;Adana westwoodi;St̴l, 1856;;;;
Adolenda;satrapa;Adolenda satrapa;Dlabola, 1981;Iran;4.0;32.56479713;54.30142285
Adolendana;typica;Adolendana typica;Distant, 1917;Seychelles;4.0;-4.70189449;55.5220677
Adzapala;greeni;Adzapala greeni;Distant, 1911;Sri Lanka;4.0;7.61235709;80.70426571
Adzapala;maculipennis;Adzapala maculipennis;(Muir, 1924);Indonesia;4.0;;
Adzapala;maculipennis;Adzapala maculipennis;(Muir, 1924);Philippines;4.0;11.74740395;122.873632
Adzapala;maculipennis;Adzapala maculipennis;(Muir, 1924);Indonesia (Maluku: Tanimbar Islands);4.0;-8.34855567;122.8734927
Afroreptalus;daemon;Afroreptalus daemon;Emeljanov, 1992;Ethiopia;4.0;8.62614057;39.6160194
Afroreptalus;rustenburgi;Afroreptalus rustenburgi;(Synave, 1952);;;;
Aka;balma;Aka balma;L̦cker, 2015;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;dobsonensis;Aka dobsonensis;L̦cker, 2015;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;dunedinensis;Aka dunedinensis;Larivi̬re, 1999;New Zealand South;4.0;-44.02210597;170.4796022
Aka;duniana;Aka duniana;(Myers, 1924);New Zealand South;4.0;-44.02210597;170.4796022
Aka;duniana;Aka duniana;(Myers, 1924);New Zealand North;4.0;-38.57756133;175.7272178
Aka;finitima;Aka finitima;(Walker, 1858);New Zealand North;4.0;-38.57756133;175.7272178
Aka;gwana;Aka gwana;L̦cker, 2015;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;hardyi;Aka hardyi;Muir, 1931;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;hardyi;Aka hardyi;Muir, 1931;Tasmania;3.0;;
Aka;issidopsis;Aka issidopsis;L̦cker, 2015;Australia (Victoria);4.0;-36.85746645;144.3078569
Aka;issidopsis;Aka issidopsis;L̦cker, 2015;Australia (Australian Capital Territory);4.0;-35.50859976;148.9969681
Aka;kuraka;Aka kuraka;L̦cker, 2015;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;pirri;Aka pirri;L̦cker, 2015;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;rhodeae;Aka rhodeae;Larivi̬re, 1999;New Zealand North;4.0;-38.57756133;175.7272178
Aka;rhodei;Aka rhodei;Larivi̬re, 1999;New Zealand North;4.0;-38.57756133;175.7272178
Aka;sorellensis;Aka sorellensis;L̦cker, 2015;;;;
Aka;tasmani;Aka tasmani;Muir, 1931;Australia (Tasmania);4.0;-41.94278479;146.6009979
Aka;westlandica;Aka westlandica;Larivi̬re, 1999;New Zealand South;4.0;-44.02210597;170.4796022
Amazobenna;reticulata;Amazobenna reticulata;Penny, 1980;Brazil North (Amazonas);4.0;-4.18918209;-64.71902655
Ambalangoda;fasciata;Ambalangoda fasciata;Distant, 1916;Sri Lanka;4.0;7.61235709;80.70426571
Ambalangoda;insignis;Ambalangoda insignis;Distant, 1912;Sri Lanka;4.0;7.61235709;80.70426571
Andes;aeneus;Andes aeneus;Van Stalle, 1984;Nigeria;4.0;9.59362458;8.10531839
Andes;aeolus;Andes aeolus;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;africanus;Andes africanus;Van Stalle & Synave, 1984;Nigeria;4.0;9.59362458;8.10531839
Andes;africanus;Andes africanus;Van Stalle & Synave, 1984;Liberia;4.0;6.44811662;-9.30785074
Andes;akaensis;Andes akaensis;Synave, 1960;;;;
Andes;angulatus;Andes angulatus;Muir, 1925;Malaysia (peninsula);4.0;4.0395303;102.1715693
Andes;angulatus;Andes angulatus;Muir, 1925;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;angulatus;Andes angulatus;Muir, 1925;Malaysia (peninsula);4.0;4.0395303;102.1715693
Andes;angulatus;Andes angulatus;Synave, 1953;Malaysia (peninsula);4.0;4.0395303;102.1715693
Andes;angulatus;Andes angulatus;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;angulatus;Andes angulatus;Synave, 1953;Malaysia (peninsula);4.0;4.0395303;102.1715693
Andes;aulonias;Andes aulonias;Linnavuori, 1973;;;;
Andes;bakeri;Andes bakeri;Muir, 1925;Singapore;4.0;1.35118038;103.8076536
Andes;bicolor;Andes bicolor;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;bicolor;Andes bicolor;Muir, 1925;Indonesia;4.0;;
Andes;bilineatus;Andes bilineatus;Synave, 1960;;;;
Andes;bistriatus;Andes bistriatus;Synave, 1960;Nigeria;4.0;9.59362458;8.10531839
Andes;bistriatus;Andes bistriatus;Synave, 1960;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;bokumensis;Andes bokumensis;Synave, 1959;;;;
Andes;brunneus;Andes brunneus;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;brunneus;Andes brunneus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;brunniceps;Andes brunniceps;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;buruensis;Andes buruensis;(Schmidt, 1926);Indonesia;4.0;;
Andes;cloelia;Andes cloelia;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;cloelia;Andes cloelia;Fennah, 1958;Uganda;4.0;1.28008215;32.38624065
Andes;concinnus;Andes concinnus;Van Stalle, 1983;Indonesia;4.0;;
Andes;cucullatus;Andes cucullatus;Muir, 1925;Singapore;4.0;1.35118038;103.8076536
Andes;decempunctatus;Andes decempunctatus;Van Stalle, 1982;Cameroon;4.0;5.68579632;12.74325047
Andes;decoloratus;Andes decoloratus;Muir, 1925;Indonesia (Borneo);3.0;;
Andes;distinctus;Andes distinctus;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;dossenus;Andes dossenus;L̦cker, 2007;Australia (Queensland);4.0;-22.57378083;144.5481729
Andes;dryas;Andes dryas;Linnavuori, 1973;;;;
Andes;dubiosus;Andes dubiosus;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;dubiosus;Andes dubiosus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;echidna;Andes echidna;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;elongatus;Andes elongatus;(Distant, 1911);Sri Lanka;4.0;7.61235709;80.70426571
Andes;fennahi;Andes fennahi;Synave, 1959;;;;
Andes;fictus;Andes fictus;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;fictus;Andes fictus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;formosanus;Andes formosanus;(Matsumura, 1914);China (Fujian);4.0;26.0753818;117.9675578
Andes;formosanus;Andes formosanus;(Matsumura, 1914);China (Sichuan);4.0;30.5883367;102.739738
Andes;formosanus;Andes formosanus;(Matsumura, 1914);Taiwan;4.0;23.74833247;120.9594018
Andes;furcatus;Andes furcatus;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;furcatus;Andes furcatus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;fuscipennis;Andes fuscipennis;Van Stalle, 1983;;;;
Andes;fuscus;Andes fuscus;Van Stalle, 1984;Nigeria;4.0;9.59362458;8.10531839
Andes;garambaensis;Andes garambaensis;Synave, 1963;;;;
Andes;geometrinus;Andes geometrinus;(Distant, 1911);Sri Lanka;4.0;7.61235709;80.70426571
Andes;goniodes;Andes goniodes;Emeljanov, 2001;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;guttatifrons;Andes guttatifrons;Van Stalle, 1985;Papua New Guinea;4.0;-6.66875068;144.3719717
Andes;guttatus;Andes guttatus;Van Stalle, 1983;;;;
Andes;hamatilis;Andes hamatilis;Van Stalle, 1983;;;;
Andes;hemina;Andes hemina;Fennah, 1978;China (Yunnan);4.0;24.97668132;101.486931
Andes;hemina;Andes hemina;Fennah, 1978;Malaysia (peninsula);4.0;4.0395303;102.1715693
Andes;hemina;Andes hemina;Fennah, 1978;Vietnam;4.0;16.65164518;106.3040302
Andes;humeralis;Andes humeralis;(Walker, 1870);Papua New Guinea;4.0;-6.66875068;144.3719717
Andes;hypanis;Andes hypanis;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;ikelus;Andes ikelus;L̦cker, 2007;Australia (Queensland);4.0;-22.57378083;144.5481729
Andes;ikomai;Andes ikomai;Ishihara, 1961;;;;
Andes;inaequalis;Andes inaequalis;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;inaequalis;Andes inaequalis;Muir, 1925;Indonesia;4.0;;
Andes;indistinctus;Andes indistinctus;Muir, 1925;Indonesia (Borneo);3.0;;
Andes;indistinctus;Andes indistinctus;Muir, 1925;Indonesia;4.0;;
Andes;inornatus;Andes inornatus;(Distant, 1911);India;3.0;;
Andes;insolitus;Andes insolitus;Muir, 1925;Singapore;4.0;1.35118038;103.8076536
Andes;kupei;Andes kupei;Van Stalle, 1986;;;;
Andes;lachesis;Andes lachesis;Fennah, 1956;China (Zhejiang);4.0;29.16724629;120.060059
Andes;lallemandi;Andes lallemandi;Synave, 1953;Nigeria;4.0;9.59362458;8.10531839
Andes;lallemandi;Andes lallemandi;Synave, 1953;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;lamondensis;Andes lamondensis;L̦cker, 2007;Australia (Queensland);4.0;-22.57378083;144.5481729
Andes;lamononi;Andes lamononi;(Muir, 1921);Samoa;4.0;-13.7583492;-172.1594545
Andes;largipennis;Andes largipennis;Van Stalle, 1986;;;;
Andes;lootensi;Andes lootensi;Synave, 1959;;;;
Andes;luzonensis;Andes luzonensis;Tsaur & Hsu, 1991;China (Zhejiang);4.0;29.16724629;120.060059
Andes;luzonensis;Andes luzonensis;Tsaur & Hsu, 1991;Taiwan;4.0;23.74833247;120.9594018
Andes;maculatus;Andes maculatus;Synave, 1960;;;;
Andes;maculifrons;Andes maculifrons;Muir, 1925;Indonesia (Jawa);4.0;-7.28863437;110.0767031
Andes;maculifrons;Andes maculifrons;Muir, 1925;Indonesia;4.0;;
Andes;madangensis;Andes madangensis;Van Stalle, 1985;Papua New Guinea;4.0;-6.66875068;144.3719717
Andes;marginatus;Andes marginatus;Van Stalle, 1983;;;;
Andes;marmoratiformis;Andes marmoratiformis;Ishihara, 1957;Japan (Honshu);4.0;36.63295744;137.9515335
Andes;marmoratiformis;Andes marmoratiformis;Ishihara, 1957;Japan (Kyushu);4.0;32.47955749;130.7202546
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);Japan (Honshu);4.0;36.63295744;137.9515335
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);Japan (Shikoku);4.0;33.6556519;133.4672626
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);Japan (Kyushu);4.0;32.47955749;130.7202546
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);Russian Far East;2.0;;
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);China (Beijing);4.0;40.17519956;116.405373
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);China (Henan);4.0;33.87827834;113.6069562
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);China Southeast (Jiangsu);4.0;32.97741605;119.4393083
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);China (Zhejiang);4.0;29.16724629;120.060059
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);China (Guangxi);4.0;23.83116833;108.7855299
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);China South-Central (Guizhou);4.0;26.80880303;106.8705846
Andes;marmoratus;Andes marmoratus;(Uhler, 1896);Japan (Hokkaido);4.0;43.37758979;142.565164
Andes;mbami;Andes mbami;Van Stalle, 1986;;;;
Andes;meander;Andes meander;(Walker, 1851);Sri Lanka;4.0;7.61235709;80.70426571
Andes;meander;Andes meander;(Walker, 1851);India (Karnataka);4.0;14.68692199;76.1848651
Andes;meander;Andes meander;(Walker, 1851);India;3.0;;
Andes;melanobasis;Andes melanobasis;Ishihara, 1957;Japan (Shikoku);4.0;33.6556519;133.4672626
Andes;mindanaensis;Andes mindanaensis;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;mindanaensis;Andes mindanaensis;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;mitellatus;Andes mitellatus;Muir, 1925;Malaysia (peninsula);4.0;4.0395303;102.1715693
Andes;mitellatus;Andes mitellatus;Muir, 1925;Malaysia;4.0;;
Andes;moaensis;Andes moaensis;L̦cker, 2007;Australia;2.0;;
Andes;monstruosus;Andes monstruosus;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;montis;Andes montis;Synave, 1963;;;;
Andes;muiri;Andes muiri;Synave, 1955;;;;
Andes;nexus;Andes nexus;(Walker, 1857);Indonesia (Borneo);3.0;;
Andes;nexus;Andes nexus;(Walker, 1857);Indonesia;4.0;;
Andes;noctua;Andes noctua;Fennah, 1956;China (Beijing);4.0;40.17519956;116.405373
Andes;noctua;Andes noctua;Fennah, 1956;China (Henan);4.0;33.87827834;113.6069562
Andes;noctua;Andes noctua;Fennah, 1956;China (Hubei);4.0;30.97345725;112.2608687
Andes;noctua;Andes noctua;Fennah, 1956;China South-Central (Guizhou);4.0;26.80880303;106.8705846
Andes;notatus;Andes notatus;Tsaur & Hsu, 1991;China (Tibet) (Xizang);4.0;31.712301;88.11841654
Andes;notatus;Andes notatus;Tsaur & Hsu, 1991;Taiwan;4.0;23.74833247;120.9594018
Andes;notatus;Andes notatus;Tsaur & Hsu, 1991;China (Guangxi);4.0;23.83116833;108.7855299
Andes;nubilus;Andes nubilus;(Walker, 1858);Sri Lanka;4.0;7.61235709;80.70426571
Andes;nubilus;Andes nubilus;(Walker, 1858);Indonesia;4.0;;
Andes;nubilus;Andes nubilus;(Walker, 1858);India;3.0;;
Andes;nubilus;Andes nubilus;(Walker, 1858);Indonesia (Jawa);4.0;-7.28863437;110.0767031
Andes;nzombeensis;Andes nzombeensis;Synave, 1959;;;;
Andes;ocellatus;Andes ocellatus;Muir, 1925;Philippines (Luzon);4.0;11.74740395;122.873632
Andes;ocellatus;Andes ocellatus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;oldi;Andes oldi;Muir, 1923;Malawi;4.0;-13.21511579;34.30698695
Andes;ornatus;Andes ornatus;Muir, 1925;Singapore;4.0;1.35118038;103.8076536
Andes;ornatus;Andes ornatus;Muir, 1925;Indonesia (Borneo);3.0;;
Andes;ornatus;Andes ornatus;Muir, 1925;Indonesia;4.0;;
Andes;othrepte;Andes othrepte;Fennah, 1956;China (Hong Kong);4.0;22.37770246;114.1129083
Andes;paludicolis;Andes paludicolis;Synave, 1960;;;;
Andes;parvus;Andes parvus;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;parvus;Andes parvus;Muir, 1925;Indonesia;4.0;;
Andes;pasithea;Andes pasithea;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;plagosa;Andes plagosa;(Distant, 1911);India (Assam);4.0;26.3430472;92.8312049
Andes;plagosa;Andes plagosa;(Distant, 1911);India;3.0;;
Andes;pseudobrunneus;Andes pseudobrunneus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;pseudobrunneus;Andes pseudobrunneus;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;pulchellus;Andes pulchellus;Muir, 1925;Indonesia (Borneo);3.0;;
Andes;pulchellus;Andes pulchellus;Muir, 1925;Indonesia;4.0;;
Andes;pulchra;Andes pulchra;(Muir, 1922);India (Karnataka);4.0;14.68692199;76.1848651
Andes;punctatus;Andes punctatus;Synave, 1960;;;;
Andes;quadrilaminatus;Andes quadrilaminatus;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;quadrilaminatus;Andes quadrilaminatus;Muir, 1925;Indonesia;4.0;;
Andes;saegeri;Andes saegeri;Synave, 1960;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;sakinae;Andes sakinae;Synave, 1963;;;;
Andes;schoutedeni;Andes schoutedeni;Synave, 1959;;;;
Andes;serratus;Andes serratus;Muir, 1925;Indonesia (Jawa);4.0;-7.28863437;110.0767031
Andes;serratus;Andes serratus;Muir, 1925;Indonesia;4.0;;
Andes;serrulatus;Andes serrulatus;Muir, 1925;Philippines (Luzon);4.0;11.74740395;122.873632
Andes;serrulatus;Andes serrulatus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;siberutensis;Andes siberutensis;Muir, 1926;India;3.0;;
Andes;signatus;Andes signatus;Van Stalle, 1983;;;;
Andes;similis;Andes similis;Synave, 1953;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;simplex;Andes simplex;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;simplex;Andes simplex;Muir, 1925;Indonesia;4.0;;
Andes;spinifer;Andes spinifer;Synave, 1955;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;spinifer;Andes spinifer;Synave, 1955;Indonesia;4.0;;
Andes;spinosus;Andes spinosus;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;spinosus;Andes spinosus;Muir, 1925;Indonesia;4.0;;
Andes;spinosus;Andes spinosus;Muir, 1925;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;spinosus;Andes spinosus;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;spinosus;Andes spinosus;Muir, 1925;Indonesia;4.0;;
Andes;spinosus;Andes spinosus;Synave, 1953;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;spinosus;Andes spinosus;Synave, 1953;Indonesia;4.0;;
Andes;spinosus;Andes spinosus;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;spinosus;Andes spinosus;Synave, 1953;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;spinosus;Andes spinosus;Synave, 1953;Indonesia;4.0;;
Andes;stramineus;Andes stramineus;Muir, 1925;Indonesia (Borneo);3.0;;
Andes;stramineus;Andes stramineus;Muir, 1925;Indonesia;4.0;;
Andes;synavei;Andes synavei;Emeljanov, 2001;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;taiensis;Andes taiensis;Van Stalle, 1984;Ivory Coast;4.0;7.63171961;-5.55550501
Andes;tener;Andes tener;Van Stalle, 1983;;;;
Andes;tigrinus;Andes tigrinus;Fennah, 1958;Nigeria;4.0;9.59362458;8.10531839
Andes;tigrinus;Andes tigrinus;Fennah, 1958;Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Andes;tortricomorphus;Andes tortricomorphus;(Kirkaldy, 1907);Australia (Queensland);4.0;-22.57378083;144.5481729
Andes;tortricomorphus;Andes tortricomorphus;(Kirkaldy, 1907);Australia (New South Wales);4.0;-32.17021086;147.0127743
Andes;tridenta;Andes tridenta;Muir, 1925;Malaysia (Sarawak);4.0;2.59296814;113.3037472
Andes;tridenta;Andes tridenta;Muir, 1925;Indonesia;4.0;;
Andes;trispinosus;Andes trispinosus;Muir, 1925;Indonesia (Jawa);4.0;-7.28863437;110.0767031
Andes;trispinosus;Andes trispinosus;Muir, 1925;Indonesia;4.0;;
Andes;truncatus;Andes truncatus;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;truncatus;Andes truncatus;Synave, 1953;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;truncatus;Andes truncatus;Synave, 1953;China South-Central (Guizhou);4.0;26.80880303;106.8705846
Andes;truncatus;Andes truncatus;Synave, 1953;China (Zhejiang);4.0;29.16724629;120.060059
Andes;truncatus;Andes truncatus;Synave, 1953;Vietnam;4.0;16.65164518;106.3040302
Andes;truncatus;Andes truncatus;Fennah, 1978;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;truncatus;Andes truncatus;Fennah, 1978;Democratic Republic of the Congo (Katanga);4.0;-2.87623132;23.6544568
Andes;truncatus;Andes truncatus;Fennah, 1978;China South-Central (Guizhou);4.0;26.80880303;106.8705846
Andes;truncatus;Andes truncatus;Fennah, 1978;China (Zhejiang);4.0;29.16724629;120.060059
Andes;truncatus;Andes truncatus;Fennah, 1978;Vietnam;4.0;16.65164518;106.3040302
Andes;turrondi;Andes turrondi;L̦cker, 2007;Australia (Northern Territory);4.0;-19.41428342;133.3652138
Andes;uncinatus;Andes uncinatus;Fennah, 1956;China (Guangdong);4.0;23.34847412;113.4101728
Andes;uncinatus;Andes uncinatus;Fennah, 1956;China (Sichuan);4.0;30.5883367;102.739738
Andes;undulatus;Andes undulatus;St̴l, 1870;Philippines;4.0;11.74740395;122.873632
Andes;unifasciatus;Andes unifasciatus;Muir, 1925;Philippines (Basilan);4.0;11.74740395;122.873632
Andes;unifasciatus;Andes unifasciatus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;usitatus;Andes usitatus;Muir, 1925;Philippines (Mindanao);4.0;11.74740395;122.873632
Andes;usitatus;Andes usitatus;Muir, 1925;Philippines;4.0;11.74740395;122.873632
Andes;variolosa;Andes variolosa;(Distant, 1911);India;3.0;;
